"Gaisano Mall Davao MBI - March 1, 2026",,,,,,,
,,,,,,,
BRAND,THE HEALTHSHOP PRODUCTS,UoM,Content,Ave Unit Cost,Selling Price,QTY,Expiry Date
,,,,,,,
,THS - CHINESE PRODUCTS,,,,,,
WN,WINION NAPKIN DAY 8S,PACK,, 250.00 , 320.00 ,,
WN,WINION NAPKIN DAY 8S PC,PC,8, 31.25 , 40.00 ,,
WN,WINION NAPKIN OVERNIGHT 8S,PACK,, 250.00 , 320.00 ,,
WN,WINION NAPKIN OVERNIGHT 8S PC,PC,8, 31.25 , 40.00 ,,
WN,WINION NAPKIN PANTILINERS 24S,PACK,, 365.00 , 415.00 ,,
WN,WINION NAPKIN PANTILINERS 24S PC,PC,24, 15.21 , 18.00 ,,
,,,,,,,
,MRI PRODUCTS,,,,,,
CMD,MRI CMD TRACE MINERAL DROPS 30 ML,BOT,, 564.00 , 750.00 ,,
CMD,MRI CMD TRACE MINERAL DROPS 60 ML,BOT,, 924.00 ," 1,200.00 ",,
CMD,MRI CMD TRACE MINERAL DROPS 15 ML,BOT,, 241.00 , 350.00 ,5,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,NATURE'S WAY,,,,,,
OUS,ALIVE (NATURES WAY) WITH IRON 90'S,BOT,, 670.00 ," 1,795.00 ",,
OUS,ALIVE (NATURES WAY) WITH IRON 90'S PC,PC,90, 7.44 , 22.00 ,,
OUS,ALIVE (NATURES WAY) NO IRON 90'S,BOT,, 663.07 ," 1,795.00 ",,
OUS,ALIVE (NATURES WAY) NO IRON 90'S PC,PC,90, 7.37 , 22.00 ,,
OUS,GREEN TEA FAT BURNER 200'S,BOT,," 1,200.00 "," 2,500.00 ",,
OUS,GREEN TEA FAT BURNER 200'S PC,PC,200, 6.00 , 15.00 ,,
,,,,,,,
,,,,,,,
,SWANSON,,,,,,
SW,SWANSON SAW PALMETTO 540MG 100'S,BOT,, 308.48 , 995.00 ,,
SW,SWANSON SAW PALMETTO 540MG 100'S PC,PC,100, 3.08 , 10.00 ,,
SW,SWANSON FLAXSEED OIL 200'S,BOT,, 719.00 ," 1,300.00 ",,
