Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,XINMAINING PIAN SUMALIN 100S,BOT,0.00,90.00,180.00,0
THS - Gmall Davao,YING DA WANG 6S,BOT,25.00,30.03,150.00,750.75
THS - Gmall Davao,YING DA WANG 6S PC,PC,0.00,5.00,50.00,0
THS - Gmall Davao,HAPPY KING 12S,BOT,0.00,80.00,600.00,0
THS - Gmall Davao,HAPPY KING 12S PC,PC,0.00,6.67,50.00,0
THS - Gmall Davao,MIPIACI ORGANIC BARLEY POWDER 200G,BOT,5.00,300.00,650.00,1500
THS - Gmall Davao,ALASKA FISH OIL 100S,BOT,19.00,80.00,395.00,1520
THS - Gmall Davao,ALASKA FISH OIL 100S PC,PC,0.00,0.80,4.00,0
THS - Gmall Davao,BIOFITEA,BOT,6.00,146.25,250.00,877.5
THS - Gmall Davao,BIOFITEA PC,PC,0.00,4.88,10.00,0
THS - Gmall Davao,ANTI CANCERLIN,BOT,0.00,200.00,345.00,0
THS - Gmall Davao,GUYABANO CAPSULE 50GM 100'S,BOX,0.00,80.00,245.00,0
THS - Gmall Davao,KASOY OIL 60ML,BOT,0.00,30.00,100.00,0
THS - Gmall Davao,DXN,BOX,0.00,550.00,900.00,0
THS - Gmall Davao,DXN 20 PC,PC,0.00,27.50,55.00,0
THS - Gmall Davao,SERPENTINA 50GMS CAPSULE 100'S,BOT,12.00,80.00,195.00,960
THS - Gmall Davao,SERPENTINA 50GMS CAPSULE 100'S PC,PC,0.00,0.80,3.00,0
THS - Gmall Davao,SAMBONG CAPSULE 50GM 100'S,BOT,4.00,80.00,245.00,320
THS - Gmall Davao,BIGUERLAI LAXATIVE TEA 2G 25S,BOX,0.00,150.00,295.00,0
THS - Gmall Davao,BIGUERLAI LAXATIVE TEA 2G 25S PC,PC,0.00,6.00,15.00,0
THS - Gmall Davao,ROYAL JELLY 30S (DK),BOT,0.00,300.00,495.00,0
THS - Gmall Davao,PARAGIS CAPSULE 50GM 100'S,BOT,4.00,80.00,150.00,320
THS - Gmall Davao,QING TIAN ZHU/POTALA 4S,BOX,0.00,90.00,150.00,0
THS - Gmall Davao,MRI CMD TRACE MINERAL DROPS 30 ML,BOT,0.00,564.00,750.00,0
THS - Gmall Davao,MRI CMD TRACE MINERAL DROPS 60 ML,BOT,0.00,924.00,1.00,0
THS - Gmall Davao,MRI CMD TRACE MINERAL DROPS 15 ML,BOT,5.00,241.00,350.00,1205
THS - Gmall Davao,15 IN 1 LIPO GLUTHA COFFEE 150G,BOT,0.00,0.00,250.00,0
THS - Gmall Davao,15 IN 1 LIPO GLUTHA ICED TEA 150G,BOT,0.00,0.00,280.00,0
THS - Gmall Davao,15 IN 1 LIPO GLUTHA RED ICED TEA 150G,BOT,0.00,0.00,250.00,0
THS - Gmall Davao,15 IN 1 LIPO GLUTHA RED ICED TEA 300G,BOT,0.00,0.00,300.00,0
THS - Gmall Davao,BONNE PURE BARLEY CHOCO FLAVOR 200GRAMS,BOT,0.00,0.00,310.00,0
THS - Gmall Davao,GAIN MASS SERIOUS 5LBS,BOT,0.00,0.00,2.00,0
THS - Gmall Davao,GARCINIA CAMBOGUIA WITH MAX 30S,BOT,0.00,0.00,1.00,0
THS - Gmall Davao,L-CARNITINE COFFE 300G,BOT,0.00,0.00,795.00,0
THS - Gmall Davao,PCOS EVENING PRIMROSE W/ AVOCADO SOFTGEL 100'S,BOT,0.00,0.00,1.00,0
THS - Gmall Davao,PCOS EVENING PRIMROSE W/ AVOCADO SOFTGEL 30'S,BOT,0.00,0.00,600.00,0
THS - Gmall Davao,SAW PALMETTO PROSTATE MAX 100'S,BOT,0.00,0.00,895.00,0
THS - Gmall Davao,SAW PALMETTO PROSTATE MAX 30'S,BOT,0.00,0.00,495.00,0
THS - Gmall Davao,WHEY PROTEIN RIPPED 1.3LBS,BOT,0.00,0.00,1.00,0
THS - Gmall Davao,WHEY PROTEIN RIPPED 5LBS,BOT,0.00,0.00,2850.00,0
THS - Gmall Davao,DR HERBS AQUAMINT FRESH POMELO OIL,BOT,23.00,0.00,150.00,0
THS - Gmall Davao,DR HERBS AQUAMINT FRESH ORANGE OIL,BOT,4.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM NATURAL ROLL-ON GREEN TEA,BOT,0.00,0.00,195.00,0
THS - Gmall Davao,HERBARIUM ORGANIC OIL PEPPERMINT 60ML,BOT,0.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM LAVANDER VIOLET,BOT,3.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM POMELO PINK,BOT,16.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM TURMERIC YELLOW,BOT,0.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM PEPPERMINT BLUE,BOT,9.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM FRES POMELO MENTHOIL OIL,BOT,3.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM EUCALYPTUS,BOT,0.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM LAVANDER,BOT,1.00,0.00,150.00,0
THS - Gmall Davao,HERBARIUM BALM PEPPERMINT,BOT,0.00,0.00,150.00,0
THS - Gmall Davao,DR HERBS HERBAL HAPLAS OIL,BOT,5.00,0.00,195.00,0
THS - Gmall Davao,HERBARIUM ORGANIC OIL EUCALYPTUS 60ML,BOT,0.00,0.00,195.00,0
THS - Gmall Davao,FERN D 60'S,BOT,0.00,580.00,820.00,0
THS - Gmall Davao,FERN D 120'S,BOT,0.00,940.00,1.00,0
THS - Gmall Davao,FERN D 120'S PC,PC,0.00,7.83,15.00,0
THS - Gmall Davao,HPI- KIDNEY CLEANSE 60'S,BOT,0.00,1.00,1.00,0
THS - Gmall Davao,HPI-KIDNEY CLEANSE 60'S PC,PC,0.00,18.33,33.00,0
THS - Gmall Davao,HPI SUPER COLON CLEANSE 240S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,HPI SUPER COLON CLEANSE 240S PC,PC,0.00,5.63,14.00,0
THS - Gmall Davao,HPI-LIVER DETOX 60'S,BOT,0.00,1.00,1.00,0
THS - Gmall Davao,HPI-LIVER DETOX 60'S PC,PC,0.00,20.00,40.00,0
THS - Gmall Davao,HPI PSYLLIUM HUSH 24 OZ,BOT,0.00,950.00,1.00,0
THS - Gmall Davao,C 500 MG 500S,BOT,2.00,935.00,2.00,1870
THS - Gmall Davao,C 500 MG 500S PC,PC,479.00,1.87,5.00,895.73
THS - Gmall Davao,C 1000 MG 500S,BOT,7.00,1.00,2.00,7
THS - Gmall Davao,C 1000 MG 500S PC,PC,565.00,2.20,7.00,1243
THS - Gmall Davao,CALCIUM 600MG+D3 500S,BOT,5.00,720.31,1.00,3601.5499999999997
THS - Gmall Davao,CALCIUM 600MG+D3 500S PC,PC,16.00,1.44,6.00,23.04
THS - Gmall Davao,CALCIUM CITRATE MAGNESIUM & ZINC 500S,BOT,7.00,890.25,2.00,6231.75
THS - Gmall Davao,CALCIUM CITRATE MAGNESIUM & ZINC 500S PC,PC,168.00,1.78,6.00,299.04
THS - Gmall Davao,DAILY MULTI VITAMINS (ADULT) 400S,BOT,0.00,850.00,1.00,0
THS - Gmall Davao,DAILY MULTI VITAMINS (ADULT) 400S PC,PC,284.00,2.13,7.00,604.92
THS - Gmall Davao,DAILY MULTI VITAMINS (PLAIN) 500S,BOT,1.00,1.00,2.00,1
THS - Gmall Davao,DAILY MULTI VITAMINS (PLAIN) 500S PC,PC,4.00,2.67,6.00,10.68
THS - Gmall Davao,E 400 IU 500S,BOT,6.00,884.17,1.00,5305.0199999999995
THS - Gmall Davao,E 400 IU 500S PC,PC,437.00,1.77,5.00,773.49
THS - Gmall Davao,FISH OIL CONCENTRATE 1000MG 400S,BOT,6.00,1.00,2.00,6
THS - Gmall Davao,FISH OIL CONCENTRATE 1000MG 400S PC,PC,266.00,3.43,8.00,912.38
THS - Gmall Davao,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 220'S TABLET,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 220'S TABLET PC,PC,0.00,6.27,15.00,0
THS - Gmall Davao,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 280'S TABLET,BOT,2.00,1.00,2.00,2
THS - Gmall Davao,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 280'S TABLET PC,PC,383.00,5.11,15.00,1957.13
THS - Gmall Davao,GLUCOSAMINE HCI 1500MG W/ MSM 1500MG 375S,BOT,1.00,1.00,2.00,1
THS - Gmall Davao,GLUCOSAMINE HCI 1500MG W/ MSM 1500MG 375S PC,PC,565.00,2.81,8.00,1587.65
THS - Gmall Davao,VITAMIN D3 2000 IU 600'S,BOT,1.00,747.51,2.00,747.51
THS - Gmall Davao,VITAMIN D3 2000 IU 600'S PC,PC,499.00,1.25,7.00,623.75
THS - Gmall Davao,SUPER B COMPLEX 500'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,SUPER B COMPLEX 500'S PC,PC,228.00,2.02,7.00,460.56
THS - Gmall Davao,COQ10 300MG 100'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,COQ10 300MG 100'S PC,PC,0.00,14.00,30.00,0
THS - Gmall Davao,WILD ALASKAN FISH OIL 230'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,WILD ALASKAN FISH OIL 230'S PC,PC,19.00,6.96,15.00,132.24
THS - Gmall Davao,KRILL OIL 500MG 160'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,KRILL OIL 500MG 160'S PC,PC,0.00,10.31,0.00,0
THS - Gmall Davao,LACTO BACILLUS PLANTARUM 1000 ML,BOT,0.00,330.00,450.00,0
THS - Gmall Davao,LACTO BACILLUS PLANTARUM 500 ML,BOT,0.00,180.00,270.00,0
THS - Gmall Davao,HAIRBAC SUPERGRO 150ML,BOT,2.00,320.00,550.00,640
THS - Gmall Davao,KINGS HERBAL 1000ML,BOT,13.00,620.83,1.00,8070.790000000001
THS - Gmall Davao,SQUALENE 100S CAPS ISSHO GENKI - OTHERS,BOX,0.00,493.75,1.00,0
THS - Gmall Davao,SQUALENE 100S CAPS ISSHO GENKI - OTHERS PC,PC,0.00,4.94,10.00,0
THS - Gmall Davao,TURMERIC INSTANT TEA 200G 12 IN 1,PACK,0.00,160.00,260.00,0
THS - Gmall Davao,TURMERIC INSTANT TEA 400G 12 IN 1,PACK,3.00,280.00,450.00,840
THS - Gmall Davao,PROVIMIN 200MG 150S,BOX,0.00,310.00,575.00,0
THS - Gmall Davao,PROVIMIN 200MG 150S PC,PC,0.00,2.07,5.00,0
THS - Gmall Davao,MIPIACI ORGANIC OAT POWDER 200G,PACK,0.00,300.00,650.00,0
